 Тег (H1),ID в админке,inlinks (Куда) Перелинковка,Верхняя перелинковка,Ссылка с главной,"Базовая частота ""W""","Базовая частота ""W"" в месяц",Наличие курсов,Стаус,Раздел,SEO,URL,Символьный код,Title,Description,H1,ТЗ на текст,Статус SEO,Текст,Статус вплетение интентов,Статус текст,Графика,Статус графики,Видео,КМ,Статус публикации,Проверяющий,Статус страницы,Коммментрий,Индексирование,Автор,ТЗ на улучшение,ID Родительского листинга,Outlinks (Откуда) Каталог,Inlinks (Куда) Каталог
Курсы системного администратора,1,,"6,7,4,5,2,8,3",TRUE,37 486,3 089,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/,administrirovanie,Курсы системного администратора - обучение с нуля онлайн ,Онлайн-курсы системного администратора. Ознакомьтесь с условиями и программами обучения для начинающих. Получите востребованную профессию в лучших школах.,Курсы системного администратора,https://docs.google.com/document/d/1bemY6_AjkJFLDamhkfxPgH3YuLfujdMFvlei63K67Oo/edit,Готово,https://docs.google.com/document/d/11TLI4oY8Okkue3ngJKvZkvqMQ4J7wdlIDIWJXDv9Hr4/edit,Не в работе,Готово,https://drive.google.com/file/d/1aXWZlmvUwGV-f1Vkun6kTbzKO-xXJDEq/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,,Главная,
Курсы по информационной безопасности,6,,"1,7,4,5,2,8,3",TRUE,128 783,8 495,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/informatsionnaya-bezopasnost/,informatsionnaya-bezopasnost,Курсы по информационной безопасности - обучения основам с нуля,Онлайн-курсы по информационной безопасности с нуля. Выберите подходящую для себя программу обучения. Ознакомьтесь с отзывами наших пользователей.,Курсы по информационной безопасности,https://docs.google.com/document/d/13bzqVJsRQmMYTv2CQJMQbDeNjxvwMcoM0LH7owlpG9w/edit,Готово,https://docs.google.com/document/d/10jouoXLGj3R6iMCNkj4assL2pXJuwxW0YdpsHWm-UbQ/edit#heading=h.gjdgxs,Не в работе,Готово,https://drive.google.com/file/d/1xVKZkRBbWz4f73P4Pv-AcUIawKTUYYn7/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,1,Курсы системного администратора,
Курсы кибербезопасности,7,,"1,6,4,5,2,8,3",FALSE,42 834,3 750,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/kiberbezopasnost/,kiberbezopasnost,Курсы по кибербезопасности - обучение с нуля в лучших онлайн-школах,Мы подобрали для вас лучшие онлайн-курсы по кибербезопасности. Обучение с нуля до специалиста с профессиональными преподавателями. Сравните и выберите лучшее предложение из списка.,Курсы кибербезопасности,https://docs.google.com/document/d/1Ra5Ri42Zy8MkI3lpKCO3JVV2qw-CtZYZh0x04FvCblE/edit,Готово,https://docs.google.com/document/d/1vAhq1GRyt1Cy72gX5vD7p6XPE3iqahpdOQhPVttiYvw/edit,Не в работе,Готово,https://drive.google.com/file/d/16A-tqH45rwFpIaVebokEJ8sZwn1XKiHG/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,6,Курсы по информационной безопасности,
Курсы Linux,4,,"2,3,6,1,6,7,8",TRUE,43 751,3 534,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/linux/,linux,Курсы администрирования Linux - обучение по программе системный администратор с нуля,Курсы администрирования Linux для начинающих. Ознакомьтесь с программой обучения и отзывами наших пользователей. Станьте специалистом по работе с ОС Линукс.,Курсы администрирование Linux,https://docs.google.com/document/d/1TfEZdNi7sYJzy7liGsNTMwlNRPx7uFItbEEsbikSzkA/edit,Готово,https://docs.google.com/document/d/1MSyhYJPmuvqyQjuie2f4rYBL-zFnG-ZNU51kxZBxymE/edit,Не в работе,Готово,https://drive.google.com/file/d/15Q0rNuOrm2pegORtT_JguExq7sGUBbkC/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,1,Курсы системного администратора,
Курсы Windows,5,,"1,4,2,3,6,7,8",TRUE,24 115,1 545,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/windows/,windows,Курс Windows с нуля -  обучение системного администратора,Онлайн-курсы администрирования Windows с нуля. Ознакомьтесь с условиями и программами обучения для начинающих. Станьте востребованным специалистом.,Курс Windows,https://docs.google.com/document/d/1c-igaUz50XtTel2RwO9P8DLA7jx3PAaQTcuW7FnY41c/edit,Готово,https://docs.google.com/document/d/1bZhLcYryy-6tQtWa9CTh7Sdh24Z4--Z4YoLbF5cfbOc/edit,Не в работе,Готово,https://drive.google.com/file/d/1_d8Ekd75ujOuFBjgTkq5zxtU3Lpm44vh/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,1,Курсы системного администратора,
Курсы Astra,2,,"4,3,1,5,6,8,7",FALSE,6 833,614,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/astra/,astra,Курсы по Astra Linux - обучение администраторов онлайн с нуля,Подборка лучших онлайн-курсов по администрированию на Astra Linux. Обучитесь основам работы операционной системы. Реальные оценки и отзывы от учеников. ,Курсы по Astra Linux,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1Fu5xeykx9g5b_83ZgNn3nGjuUkojJatJ3FiZfp7XQLg/edit,Не в работе,Готово,https://drive.google.com/file/d/1nxc5o3zGp02Ggfb8R38CVM94VFCFklgp/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,4,Курсы администрирование Linux,
Курсы сетевого инженера ,8,,"1,4,5,6,7,2,3",FALSE,5 676,461,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/setevoj-inzhener/,setevoj-inzhener,Курсы сетевого инженера - обучение технологиям с нуля,Курсы сетевого инженера для начинающих. Получи профессию в удобном дистанционном формате. Посмотрите нашу подборку из лучших онлайн-школ и выберите подходящий вариант. ,Курсы сетевого инженера ,https://docs.google.com/document/d/1q-1IOdWbGifkrbY3QNPf0MsVXqafmu1U1Rmhy9aUDC8/edit,Готово,https://docs.google.com/document/d/10frQxc-m5F5_u1gT3CNYRwujyKbbIIunMWakX6xynGM/edit,Не в работе,Готово,https://drive.google.com/file/d/1l6YklS-na9cuL7ghPHzcr7YQMn6A_bAk/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,1,Курсы системного администратора,
Курсы Ubuntu,3,,"4,2,1,5,6,8,7",FALSE,654,70,TRUE,Активна,Администрирование,,https://kursy.ru/administrirovanie/ubuntu/,ubuntu,Курсы по Ubuntu Linux - обучение с нуля онлайн для начинающих,Мы собрали для вас лучшие онлайн-курсы Ubuntu Linux. Обучитесь с нуля и начните работать на новой операционной системе. Сравните и выберите подходящее вам предложение. ,Курсы по Ubuntu Linux,https://docs.google.com/document/d/1kVKzP3AHekpwTOqJBI6Y1hqE2yG70xOkxl4PfOIQK_w/edit,Готово,https://docs.google.com/document/d/1kI6gRazLZlmIgvcqs0nD6H70tn2MgdRdTqCa4xuvlYA/edit,Не в работе,Готово,https://drive.google.com/file/d/1q60AFHd0hPk9OE_2pXDA_b5WYQwjk74G/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Владислав Громов,,4,Курсы администрирование Linux,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Курсы аналитики данных,9,,"12,10,21,16,20,22,28,26,17,25,18,19,13,30,23,29,27,11",TRUE,49 257,4 480,TRUE,Активна,Аналитика,,https://kursy.ru/analitika/,analitika,Курсы аналитики - обучение профессии онлайн с нуля,Лучшие курсы по аналитике за [current_year] год. Актуальные предложения от ведущих онлайн-школ. Сравнение условий и программ обучения. ,Курсы аналитики ,https://docs.google.com/document/d/13TTeftJmjm6PotidSjRRu6HkL_Zrqk_kUAGwFgWEyQw/edit,Готово,https://docs.google.com/document/d/1VEWo-CKxKzJ9pYdrSpqspUXaFxp6ayEkl0AJaMJ4Omk/edit,Не в работе,Готово,https://drive.google.com/file/d/1stc1Kg3YBIkBluT0e703exWulKQ_YQ1l/view?usp=share_link,Готово,,,Готово,,Готово,,Проиндексированно,Иван Нестеренко,,,Главная,
